term,synonyms
10 x 20,"10x20, 10 x 20, 20x10, 20 x 10"
10 1/2 x 21,"10.5x21, 10.5 x 21, 21x10.5, 21 x 10.5"
11 x 22,"11x22, 11 x 22, 22x11, 22 x 11"
12 x 12,"12x12, 12 x 12"
12 x 24,"12x24, 12 x 24, 24x12, 24 x 12"
13 x 16,"13x16, 13 x 16, 16x13, 16 x 13"
13 x 26,"13x26, 13 x 26, 26x13, 26 x 13"
14 x 18,"14x18, 14 x 18, 18x14, 18 x 14"
14 x 28,"14x28, 14 x 28, 28x14, 28 x 14"
16 x 16,"16x16, 16 x 16"
18 x 18,"18x18, 18 x 18"
18 x 24,"18x24, 18 x 24, 24x18, 24 x 18"
20 x 20,"20x20, 20 x 20"
22 x 22,"22x22, 22 x 22"
24 x 24,"24x24, 24 x 24"
8-sided,"8-sided, 8 sided, octagon, octagonal"
10-sided,"10-sided, 10 sided, decagon"
12-sided,"12-sided, 12 sided, dodecagon"
silicon carbide,"silicon carbide, sic"
semi-hollow,"semi-hollow, semi hollow, hollow core"
