approve,current_title,new_title,shelf_size,shelf_shape,shelf_thickness,current_seo_title,new_seo_title,tags_to_add,notes,status,vendor,sku,handle,product_id,url
yes,"Advancer Kiln Shelf  13"" Round x 5/16""  Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 13"" Full Round, 5/16"" Thick","13"" Diameter",Full Round,"5/16""",,"Advancer Kiln Shelf 13"" x 5/16"" Full Round | Sheffield Pottery",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; ADVANCER Kiln Shelves,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Advancer,AKS-ADV13ROUND-I,13-round-x-5-16-advancer®-kiln-shelf,gid://shopify/Product/14615946199411,https://www.sheffield-pottery.com/products/13-round-x-5-16-advancer®-kiln-shelf
yes,"Advancer Kiln Shelf 15"" Round x 5/16"" Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 15"" Full Round, 5/16"" Thick","15"" Diameter",Full Round,"5/16""",,"Advancer Kiln Shelf 15"" x 5/16"" Full Round | Sheffield Pottery",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; ADVANCER Kiln Shelves,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Advancer,SSFADV15ROUND,15-round-x-5-16-advancer®-kiln-shelf,gid://shopify/Product/14615946887539,https://www.sheffield-pottery.com/products/15-round-x-5-16-advancer®-kiln-shelf
yes,"Advancer Kiln Shelf 25"" x 12.5"" x 5/16"" Half Round  Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 25"" Half Round, 5/16"" Thick","25"" Diameter",Half Round,"5/16""",,"Advancer Kiln Shelf 25"" x 5/16"" Half Round | Sheffield Pottery",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; ADVANCER Kiln Shelves,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Advancer,SSADV25HR,25-x-12-5-x-5-16-half-round-advancer®-kiln-shelf,gid://shopify/Product/14615950819699,https://www.sheffield-pottery.com/products/25-x-12-5-x-5-16-half-round-advancer®-kiln-shelf
yes,"Advancer Kiln Shelf  15"" x 15"" x 5/16"" Full 8 Sided  Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 15"" Full 8-Sided, 5/16"" Thick","15"" Diameter",Full 8-Sided,"5/16""",,"Advancer Kiln Shelf 15"" x 5/16"" Full 8-Sided | Sheffield Pottery",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; ADVANCER Kiln Shelves,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Advancer,SSFB1515516,15-x-15-x-5-16-full-8-sided-advancer®-kiln-shelf,gid://shopify/Product/14615946297715,https://www.sheffield-pottery.com/products/15-x-15-x-5-16-full-8-sided-advancer®-kiln-shelf
yes,"Advancer Kiln Shelf 15"" x 7.5"" x 5/16""  Nitride Bonded Silicon Carbide Half 8 Sided","Advancer Silicon Carbide Kiln Shelf - 15"" Half 8-Sided, 5/16"" Thick","15"" Diameter",Half 8-Sided,"5/16""",,"Advancer Kiln Shelf 15"" x 5/16"" Half 8-Sided | Sheffield Pottery",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; ADVANCER Kiln Shelves,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Advancer,SSFADV157.5H8S-I,15-x-7-5-x-5-16-half-8-sided-advancer®-kiln-shelf,gid://shopify/Product/14615946428787,https://www.sheffield-pottery.com/products/15-x-7-5-x-5-16-half-8-sided-advancer®-kiln-shelf
yes,"Advancer Kiln Shelf 20"" Full 10 Sided Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 20"" Full 10-Sided, 5/16"" Thick","20"" Diameter",Full 10-Sided,"5/16""",Advancer Kiln Shelves | Sheffield Pottery | Nitride Bonded Silicon Carbide,"Advancer Kiln Shelf 20"" x 5/16"" Full 10-Sided | Sheffield Pottery",,"Thickness not in title; set to Advancer standard 5/16"" - confirm.",ACTIVE,Advancer,SSFADV20F,advancer-kiln-shelf-20-full-10-sided-ssfadv20f,gid://shopify/Product/8316337979714,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-20-full-10-sided-ssfadv20f
yes,"Advancer Kiln Shelf 21"" Full 10 Sided Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 21"" Full 10-Sided, 5/16"" Thick","21"" Diameter",Full 10-Sided,"5/16""",Advancer Kiln Shelves | Sheffield Pottery | Nitride Bonded Silicon Carbide,"Advancer Kiln Shelf 21"" x 5/16"" Full 10-Sided | Sheffield Pottery",,"Thickness not in title; set to Advancer standard 5/16"" - confirm. Vendor part no. (AKS-ADV2020F10S-1) duplicates the 20"" full shelf's.",ACTIVE,Advancer,SSFADV21F,advancer-kiln-shelf-21-full-10-sided-ssfadv21f,gid://shopify/Product/8316338307394,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-21-full-10-sided-ssfadv21f
yes,"Advancer Kiln Shelf 20"" Half 10 Sided Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 20"" Half 10-Sided, 5/16"" Thick","20"" Diameter",Half 10-Sided,"5/16""",Advancer Kiln Shelves | Lightweight Kiln Shelves,"Advancer Kiln Shelf 20"" x 5/16"" Half 10-Sided | Sheffield Pottery",,"Thickness not in title; set to Advancer standard 5/16"" - confirm.",ACTIVE,Advancer,SSFADV20H,advancer-kiln-shelf-20-half-10-sided-ssfadv20h,gid://shopify/Product/8316338176322,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-20-half-10-sided-ssfadv20h
yes,"Advancer Kiln Shelf 21"" Half 10 Sided Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 21"" Half 10-Sided, 5/16"" Thick","21"" Diameter",Half 10-Sided,"5/16""",Advancer Kiln Shelves | Lightweight Kiln Shelves,"Advancer Kiln Shelf 21"" x 5/16"" Half 10-Sided | Sheffield Pottery",,"Thickness not in title; set to Advancer standard 5/16"" - confirm.",ACTIVE,Advancer,SSFADV21H,advancer-kiln-shelf-21-half-10-sided-ssfadv21h,gid://shopify/Product/8316338504002,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-21-half-10-sided-ssfadv21h
yes,"Advancer Kiln Shelf 26"" Half 12 Sided Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 26"" Half 12-Sided, 5/16"" Thick","26"" Diameter",Half 12-Sided,"5/16""",Advancer Kiln Shelves | Sheffield Pottery | Nitride Bonded Silicon Carbide,"Advancer Kiln Shelf 26"" x 5/16"" Half 12-Sided | Sheffield Pottery",,"Thickness not in title; set to Advancer standard 5/16"" - confirm.",ACTIVE,Advancer,SSFADV26H,advancer-kiln-shelf-26-half-12-sided-ssfadv26h,gid://shopify/Product/8316339061058,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-26-half-12-sided-ssfadv26h
yes,"Advancer Kiln Shelf 10 x 20 x 5/16"" Nitride Bonded Silicon Carbide Rectangle","Advancer Silicon Carbide Kiln Shelf - 10"" x 20"" Rectangle, 5/16"" Thick","10"" x 20""",Rectangle,"5/16""",Advancer Kiln Shelves | Sheffield Pottery | Nitride Bonded Silicon Carbide,"Advancer Kiln Shelf 10"" x 20"" x 5/16"" Rectangle | Sheffield Pottery",,,ACTIVE,Advancer,SSFADV1020,advancer-kiln-shelf-10-x20-x-5-16-silicon-carbide-ssfadv1020,gid://shopify/Product/8316336832834,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-10-x20-x-5-16-silicon-carbide-ssfadv1020
yes,"Advancer Kiln Shelf 11x22x 5/16"" Nitride Bonded Silicon Carbide Rectangle","Advancer Silicon Carbide Kiln Shelf - 11"" x 22"" Rectangle, 5/16"" Thick","11"" x 22""",Rectangle,"5/16""",Advancer Kiln Shelves | Sheffield Pottery | Nitride Bonded Silicon Carbide,"Advancer Kiln Shelf 11"" x 22"" x 5/16"" Rectangle | Sheffield Pottery",,,ACTIVE,Advancer,SSFADV1122,advancer-kiln-shelf-11x22-silicon-carbide-ssfadv1122,gid://shopify/Product/8316336996674,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-11x22-silicon-carbide-ssfadv1122
yes,"12"" x 24"" x 3/4"" Oxide Bonded Silicon Carbide Kiln Shelf: Crystolon","Crystolon Oxide-Bonded Silicon Carbide Kiln Shelf - 12"" x 24"" Rectangle, 3/4"" Thick","12"" x 24""",Rectangle,"3/4""",Silicon Carbide Kiln Shelf,"Crystolon Silicon Carbide Kiln Shelf 12"" x 24"" x 3/4"" Rectangle",Kiln Shelves - Posts - Cones and Kiln Firing Accessories,,ACTIVE,Advancer,SSFRC4128122434,silicon-carbide-kiln-shelf-12-x-24-x3-4-ssfrc4128122434,gid://shopify/Product/8316339552578,https://www.sheffield-pottery.com/products/silicon-carbide-kiln-shelf-12-x-24-x3-4-ssfrc4128122434
yes,"Advancer Kiln Shelf 12 x 24 x 5/16"" Nitride Bonded Silicon Carbide Rectangle","Advancer Silicon Carbide Kiln Shelf - 12"" x 24"" Rectangle, 5/16"" Thick","12"" x 24""",Rectangle,"5/16""",Advancer Kiln Shelves | Sheffield Pottery | Nitride Bonded Silicon Carbide,"Advancer Kiln Shelf 12"" x 24"" x 5/16"" Rectangle | Sheffield Pottery",,,ACTIVE,Advancer,SSFADV1224,advancer-kiln-shelf-12-x-24-x-5-16-nitride-bonded-ssfadv1224,gid://shopify/Product/8316337422658,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-12-x-24-x-5-16-nitride-bonded-ssfadv1224
yes,"Advancer Kiln Shelf 16"" x 13"" x 5/16""  Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 13"" x 16"" Rectangle, 5/16"" Thick","13"" x 16""",Rectangle,"5/16""",,"Advancer Kiln Shelf 13"" x 16"" x 5/16"" Rectangle | Sheffield Pottery",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; ADVANCER Kiln Shelves,"Vendor part no. field (AKS-ADV1326X5/16-I) belongs to the 13 x 26 shelf. Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Advancer,AKS-ADV1613X5/16-I,16-x-13-x-5-16-advancer®-kiln-shelf,gid://shopify/Product/14615946953075,https://www.sheffield-pottery.com/products/16-x-13-x-5-16-advancer®-kiln-shelf
yes,"Advancer Kiln Shelf 13 x26 x 5/16"" Nitride Bonded Silicon Carbide Rectangle","Advancer Silicon Carbide Kiln Shelf - 13"" x 26"" Rectangle, 5/16"" Thick","13"" x 26""",Rectangle,"5/16""",Advancer Kiln Shelves | Sheffield Pottery | Nitride Bonded Silicon Carbide,"Advancer Kiln Shelf 13"" x 26"" x 5/16"" Rectangle | Sheffield Pottery",,"Description opens with ""12 x28""; fix the description.",ACTIVE,Advancer,SSFADV1326,advancer-kiln-shelf-13-x26-x-5-16-silicon-carbide-ssfadv1326,gid://shopify/Product/8316337586498,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-13-x26-x-5-16-silicon-carbide-ssfadv1326
yes,"Advancer Kiln Shelf 14 x 28 x 5/16"" Nitride Bonded Silicon Carbide Rectangle","Advancer Silicon Carbide Kiln Shelf - 14"" x 28"" Rectangle, 5/16"" Thick","14"" x 28""",Rectangle,"5/16""",Advancer Kiln Shelves | Sheffield Pottery | Nitride Bonded Silicon Carbide,"Advancer Kiln Shelf 14"" x 28"" x 5/16"" Rectangle | Sheffield Pottery",,"Description opens with ""11 x 22""; fix the description.",ACTIVE,Advancer,SSFADV1428,advancer-kiln-shelf-14-x28-x-5-16-silicon-carbide-ssfadv1428,gid://shopify/Product/8316337848642,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-14-x28-x-5-16-silicon-carbide-ssfadv1428
yes,"Advancer Kiln Shelf 18"" x 24"" x 5/16""  Nitride Bonded Silicon Carbide","Advancer Silicon Carbide Kiln Shelf - 18"" x 24"" Rectangle, 5/16"" Thick","18"" x 24""",Rectangle,"5/16""",,"Advancer Kiln Shelf 18"" x 24"" x 5/16"" Rectangle | Sheffield Pottery",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; ADVANCER Kiln Shelves,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Advancer,AKS-ADV1824x5/16-I,18-x-24-x-5-16-advancer®-kiln-shelf,gid://shopify/Product/14615950623091,https://www.sheffield-pottery.com/products/18-x-24-x-5-16-advancer®-kiln-shelf
yes,"Advancer Kiln Shelf 12 x 12 x 5/16"" Nitride Bonded Silicon Carbide Square","Advancer Silicon Carbide Kiln Shelf - 12"" x 12"" Square, 5/16"" Thick","12"" x 12""",Square,"5/16""",Advancer Kiln Shelves | Sheffield Pottery | Nitride Bonded Silicon Carbide,"Advancer Kiln Shelf 12"" x 12"" x 5/16"" Square | Sheffield Pottery",,,ACTIVE,Advancer,SSFADV1212,advancer-kiln-shelf-12-x12-x-5-16-silicon-carbide-ssfadv1212,gid://shopify/Product/8316337258818,https://www.sheffield-pottery.com/products/advancer-kiln-shelf-12-x12-x-5-16-silicon-carbide-ssfadv1212
