SKU,Title,Price,Compare-at Price,pdp_ availability,pdp_freeshippingitem,pdp_vendor_part_no,new compare
"=""OL186GFETLCFK""",Olympic Kilns 186Gfetlc Furniture Kit,146.00,195.00,,false,186GFETLCFK,215.00
"=""OLBFEC""",Electronic Controller - Bo&Fl,1485.00,,,true,OLBFEC,
"=""OLECBR20""",Oval 20 - Blank Ring,420.00,,,true,OLECBR20,480.00
"=""OLECBR25""",Oval 25 - Blank Ring,505.00,,,true,OLECBR25,560.00
"=""OLECBR30""",Oval 30 - Blank Ring,560.00,,,true,OLECBR30,625.00
"=""OLHBP""",Pyrometer For Hot Box,280.00,,,true,OLHBP,275.00
"=""OLHS21""","olympic 21"" x 1/2 shelf",59.00,,,false,,65.00
"=""OLIRTS1823""",Ignit Ring & Thermo Tb-18&23'S,465.00,,,false,OLIRTS1823,
"=""OLIRTS28""",Ignit. Ring & Thermo. Tb-28'S,540.00,,,false,OLIRTS28,
"=""OLTBBR18""",Torch Bearer 18 - Blank Ring,270.00,,,false,OLTBBR18,
"=""OLTBBR23""",Torch Bearer 23 - Blank Ring,310.00,,,false,OLTBBR23,
"=""OLTBBR28""",Torch Bearer 28 - Blank Ring,430.00,,,false,OLTBBR28,
"=""OES""",Olympic Electro Sitter To Replace Dawson Kiln Sitters,1155.00,,,true,ELECTRO SITTER,1250.00
"=""OL1214120""","Olympic 1214-120: Cone 4,  120 Volt Electric Kiln w/3 Key",1849.00,1905.00,12 to 15 Weeks,true,OL1214120,1965.00
"=""OL1214ERAKU""",Olympic 1214 Electric Raku Kiln With 12 key Controller,2199.00,2475.00,12 to 15 Weeks,true,OL1214ERAKU,2800.00
"=""OL129""","Olympic 129: Cone 6, Top Loading 120 Volt Electric Kiln with Genesis Spark",1509.00,1650.00,12 to 15 Weeks,true,OL129,1785.00
"=""OL1414HE""",Olympic 1414HE Kiln with 3 Key Controller,1749.00,1935.00,12 to 15 Weeks,true,F1414HE,2200.00
"=""OL146GFETLC""",Olympic Kilns - 146Gfetlc 120V Glass Fusing Kiln,1915.00,2090.00,12 to 15 Weeks,true,OL146GFETLC,2300.00
"=""OL146GFETLCFK""",Olympic Kilns 146Gfetlc Furniture Kit,120.00,,8-12 weeks,false,OL146GFETLCFK,185.00
"=""OL1818""",Olympic 1818 Stackable Electric Kiln With KilnStar Controller : 2.63 Cu. Ft Cone 8,2349.00,2475.00,12 to 15 Weeks,true,OL1818,2775.00
"=""OL1818H""",Olympic 1818H Stackable Electric Kiln With 12 Key Controller,2437.00,2650.00,12 to 15 Weeks,true,OL1818H,2925.00
"=""OL1823""",Olympic 1823 Stackable Electric Kiln With 12 key Controller  Cone 8,2599.00,2900.00,12 to 15 Weeks,true,OL1823,3200.00
"=""OL1823ERAKU""",Olympic 1823 Electric Raku Kiln With 12 key Controller,2999.00,3395.00,12 to 15 Weeks,true,OL1823ERAKU,3750.00
"=""OL1823H""",Olympic 1823H Stackable Electric Kiln With KilnStar Controller : 3.29 Cu. Ft:  Cone 10,2679.00,3045.00,12 to 15 Weeks,true,OL1823H,3350.00
"=""OL1827""",Olympic 1827 Stackable Electric Kiln,2785.00,3080.00,12 to 15 Weeks,true,OL1827,3390.00
"=""OL1827G""",Olympic 1827-Torch Bearer Kiln / Natural Gas Or Propane With Burners And Ignition Ring,2419.00,2695.00,12 to 15 Weeks,true,OL1827G,3000.00
"=""OL1827H""",Olympic 1827H Stackable Electric Kiln  3.95 Cu. Ft:  Cone 10,2899.00,3290.00,12 to 15 Weeks,true,OL1827H,3625.00
"=""OL186GFETLC""",Olympic Kilns 186GFETLC Kiln,2629.00,2970.00,12 to 15 Weeks,true,OL186GFETLC,3295.00
"=""OL18RAKU""","Olympic 18"" Raku Kiln /Natural Gas Or Propane With Burners And Ignition Ring",2769.00,3095.00,8-12 weeks,true,OL18RAKU,3500.00
"=""OL2318""",Olympic 2318 Stackable Electric Digital Kiln 4.7 Cu. Ft:  Cone 8,3219.00,3570.00,12 to 15 Weeks,true,OL2318,3925.00
"=""OL2318H""",Olympic 2318H Stackable Electric Kiln With KilnStar Controller : 4.7 Cu. Ft:  Cone 10,3249.00,3635.00,12 to 15 Weeks,true,OL2318H,4000.00
"=""OL2323""",Olympic 2323 Stackable Digital Electric Kiln 5.83 Cu. Ft:  Cone 4,3260.00,3480.00,12 to 15 Weeks,true,OL2323,
"=""OL2323H""",Olympic 2323H Stackable Electric Kiln With KilnStar Controller : 5.83 Cu. Ft:  Cone 10,3689.00,4190.00,12 to 15 Weeks,true,2323H,4610.00
"=""OL2327""",Olympic 2327 Stackable Electric Kiln With KilnStar Controller : 7 Cu. Ft:  Cone 8,3759.00,4190.00,12 to 15 Weeks,true,OL2327,4835.00
"=""OL2327G""",2327-Olympic Torch Bearer Kiln /Natural Gas Or Propane With Burners And Ignition Ring,3169.00,3500.00,8-12 weeks,true,OL2327G,4000.00
"=""OL2327H""",Olympic 2327H Stackable Electric Kiln 7 Cu. Ft  Cone 10,3969.00,4575.00,12 to 15 Weeks,true,2327HE,5100.00
"=""OL2331G""",2331-Olympic Torch Bearer Kiln /Natural Gas Or Propane With Burners And Ignition Ring,3399.00,3750.00,8-12 weeks,true,OL2331G,4250.00
"=""OL2331H""",Olympic 2331H Stackable Electric Kiln With KilnStar Controller : 8.17 Cu. Ft:  Cone 10,4199.00,4800.00,12 to 15 Weeks,true,OL2331H,5300.00
"=""OL23RAKU""","Olympic 23"" Raku Kiln /Natural Gas Or Propane With Burners And Ignition Ring",3859.00,4410.00,8-12 weeks,true,23RAKU-G,5000.00
"=""OL2818H""",Olympic 2818H Stackable Electric Kiln With KilnStar Controller : 6.67 Cu. Ft:  Cone 10,3949.00,4410.00,12 to 15 Weeks,true,OL2818H,4850.00
"=""OL2823H""",Olympic 2823H Stackable Electric Kiln With KilnStar Controller : 8.34 Cu. Ft:  Cone 10,4239.00,4785.00,12 to 15 Weeks,true,OL2823H,5270.00
"=""OL2827G""",2827-Olympic Torch Bearer Kiln / Natural Gas Or Propane With Burners And Ignition Ring,4129.00,4615.00,8-12 weeks,true,OL2827G,5200.00
"=""OL2827H""",Olympic 2827H Stackable Digital Electric Kiln 10 Cu. Ft:  Cone 10,4629.00,5240.00,12 to 15 Weeks,true,OL2827H,5870.00
"=""OL2831G""",2831-Olympic Torch Bearer Kiln Natural Gas  or Propane,4399.00,4935.00,8-12 weeks,true,OL2831G,5450.00
"=""OL2831H""",Olympic 2831H Digital Stackable Electric Kiln 11.67 Cu. Ft:  Cone 10,5079.00,5845.00,12 to 15 Weeks,true,OL2831H,6450.00
"=""OL28RAKU""","Olympic 28"" Raku Kiln / Natural Gas Or Propane With Burners And Ignition Ring",4879.00,5650.00,8-12 weeks,true,OL28RAKU,6500.00
"=""OLCHAMP""",Olympic Champ Glass Kiln,1299.00,1440.00,8-12 weeks,true,OLCHAMP,1585.00
"=""OLCHAMPXL""",Olympic Champ Xl Glass Kiln,1389.00,1555.00,16-22 weeks,true,OLCHAMPXL,1725.00
"=""OLDD12""",Olympic Kilns DD12  Downdraft Kiln Gas Or Propane,11130.00,,16-22 weeks,true,OLDD12,12300.00
"=""OLDD14""",Olympic Kiln DD14 - Downdraft Kiln Gas Or Propane,13030.00,,16-22 weeks,true,OLDD14,14500.00
"=""OLDD17""",Olympic Kiln DD17 - Downdraft Kiln Gas Or Propane,14905.00,,16-22 weeks,true,OLDD17,16500.00
"=""OLDD20""",Olympic Kiln DD20 - Downdraft Kiln Gas Or Propane,17820.00,,16-22 weeks,true,OLDD20,19950.00
"=""OLDD24""",Olympic Kilns DD24 - Downdraft Kiln Gas Or Propane,20500.00,,16-22 weeks,true,OLDD24,22550.00
"=""OLDD30""",Olympic Kilns DD30 - Downdraft Kiln Gas Or Propane,22990.00,,16-22 weeks,true,OLDD30,25500.00
"=""OLDD40""",Olympic Kilns DD40-Downdraft Kiln Gas Or Propane,28130.00,,16-22 weeks,true,OLDD40,30975.00
"=""OLDD9""",Olympic Kilns DD9-Downdraft Kiln Gas Or Propane,10650.00,,16-22 weeks,true,OLDD9,11800.00
"=""OLDDBB""",Blower Burner For Olympic Downdraft Kilns,1727.00,,,true,OLDDBB,1425.00
"=""OLDDDP10""","Digital Pyrometer For Olympic Gas Kilns - w/10"" Thermocouple",290.00,,,true,"Downdraft Pyrometer 10""",300.00
"=""OLDDEC""",120V/20A Electronic High Limit Shut Off  Including Valve For Olympic Gas Kilns,1452.00,,,true,OLDDEC,1600.00
"=""OLDDGH""",Galvanized Steel Hood For Olympic Downdraft Kilns,1865.00,,,true,OLDDGH,1700.00
"=""OLDDSH""",Stainless Steel Hood For Olympic Downdraft Kilns,2100.00,,,true,OLDDSH,1800.00
"=""OLDM1818HE""",Olympic Dual Media Kiln 1818He: 2.63 Cu. Ft. : Cone 10 With Rtc-1000 Digital Controller,2799.00,3190.00,8-12 weeks,true,OLDM1818HE,3510.00
"=""OLDM1823HE""",Olympic Dual Media Kiln 1823HE: 3.29 Cu. Ft. : Cone 10,3099.00,3660.00,12-15 weeks,true,OLDM1823HE,3925.00
"=""OLDM2318HE""",Olympic Dual Media Kiln 2318He: 4.7 Cu. Ft. : Cone 10 With Rtc-1000 Digital Controller,3649.00,4205.00,8-12 weeks,true,DM2318HE,4625.00
"=""OLDM2323HE""",Olympic Dual Media Kiln 2323He: 5.83 Cu. Ft. : Cone 10 With Rtc-1000 Digital Controller,4079.00,4710.00,8-12 weeks,true,OLDM2323HE,5185.00
"=""OLDM2327HE""",Olympic Dual Media Kiln 2327He: 7 Cu. Ft.  Cone 10 Digital,4299.00,5025.00,8-12 weeks,true,OLDM2327HE,5530.00
"=""OLDM2523HE""",Olympic Dual Media Kiln 2523He Oval: 10 Cu. Ft. : Cone 10 With Rtc-1000 Digital Controller (3018 Shown),5435.00,6180.00,8-12 weeks,true,DM2523HE,6800.00
"=""OLDM2818HE""",Olympic Dual Media Kiln 2818He: 6.67 Cu. Ft. : Cone 10 With Rtc-1000 Digital Controller,4349.00,4950.00,8-12 weeks,true,DM2818HE,5450.00
"=""OLDM2823HE""",Olympic Dual Media Kiln 2823He: 8.34 Cu. Ft. : Cone 10 With Rtc-1000 Digital Controller,4749.00,5440.00,8-12 weeks,true,OLDM2823HE,5985.00
"=""OLDM2827HE""",Olympic Dual Media Kiln 2827He: 10 Cu. Ft. : Cone 10 With Rtc-1000 Digital Controller (2823 Shown),5019.00,5835.00,8-12 weeks,true,DM2827HE,6425.00
"=""OLDM3018HE""",Olympic Dual Media Kiln 3018HE,5849.00,6820.00,8-12 weeks,true,OLDM3018HE,7505.00
"=""OLDM3023HE""",Olympic Dual Media Kiln 3023He Oval: 14.9 Cu. Ft. : Cone 10 With Rtc-1000 Digital Controller (3018 Shown),6279.00,7310.00,8-12 weeks,true,OLDM3023HE,8050.00
"=""OLDP""","Olympic Digital Pyrometer with two 6"" Type K thermocouples",280.00,,,true,DP,275.00
"=""OLF1414HE""","Olympic Freedom 1414He Kiln Package: Cone 10, Electronic Control With Vent, Furniture Kit And More",2695.00,3190.00,8-12 weeks,true,F1414HE,3510.00
"=""OLF1823HE""",Olympic Freedom 1823He Kiln Package: Cone 10 Package,3759.00,4449.00,8-12 weeks,true,OLF1823HE,5000.00
"=""OLF2323HE""","Olympic Freedom 2323He Kiln Package With Vent, Furniture Kit And More",4519.00,5325.00,8-12 weeks,true,F2323HE,5860.00
"=""OLF2327HE""","Olympic Freedom 2327He Kiln Package: With Vent, Furniture Kit And More!",5279.00,6320.00,8-12 weeks,true,OLF2327HE,6950.00
"=""OLF2527HE""","Olympic Freedom 2527He Kiln Package: with Vent, Furniture Kit and More!",6199.00,7510.00,8-12 weeks,true,F2527HE,8275.00
"=""OLF2823HE""","Olympic Freedom 2823He Kiln Package: with Vent, Furniture Kit and More!",5660.00,6680.00,8-12 weeks,true,OLF2823HE,7350.00
"=""OLF2827HE""","Olympic Freedom 2827HE Kiln Package: Cone 10, Electronic Control With Vent, Furniture Kit And More!",6119.00,7230.00,8-12 weeks,true,OLF2827HE,7950.00
"=""OLFL12""",Olympic FL-12 Front Loading Kiln,9199.00,10260.00,14-16 Weeks,true,FL12E,11300.00
"=""OLFL17""",Olympic FL-17 Front Loading Kiln,11499.00,12410.00,14-16 Weeks,true,FL17E,13675.00
"=""OLFL20""",Olympic FL-20 Front Loading Kiln,12699.00,14190.00,14-16 Weeks,true,FL20E,15625.00
"=""OLFL24""",Olympic FL-24 Front Loading Kiln,14899.00,16635.00,14-16 Weeks,true,FL24E,18300.00
"=""OLFL27""",Olympic FL-27 Front Loading Kiln,16999.00,18570.00,14-16 Weeks,true, FL27E,20500.00
"=""OLFL31""",Olympic FL-31 Front Loading Kiln,19099.00,21335.00,14-16 Weeks,true, FL31E,23500.00
"=""OLFL53""",Olympic FL-53 Front Loading Kiln,26899.00,29960.00,14-16 Weeks,true,FL53E  ,33000.00
